Messgeraet: Beispiel Potentiostat
Messmethode: DCR
Slewrate: 10 mV/s

Number	Time[s]	U[V]	I[A]
74	7.30	-0.076756	-0.054350
75	7.40	-0.075753	-0.053098
76	7.50	-0.074749	-0.052807
77	7.60	-0.073746	-0.051270
78	7.70	-0.072742	-0.051293
79	7.80	-0.071739	-0.050897
80	7.90	-0.070736	-0.050219
81	8.00	-0.069732	-0.049009
82	8.10	-0.068729	-0.048780
83	8.20	-0.067726	-0.047559
84	8.30	-0.066722	-0.046351
85	8.40	-0.065719	-0.046442
86	8.50	-0.064716	-0.046024
87	8.60	-0.063712	-0.044072
88	8.70	-0.062709	-0.044146
89	8.80	-0.061706	-0.044109
90	8.90	-0.060702	-0.043473
91	9.00	-0.059699	-0.042666
92	9.10	-0.058696	-0.041131
93	9.20	-0.057692	-0.040161
94	9.30	-0.056689	-0.040046
95	9.40	-0.055686	-0.039914
96	9.50	-0.054682	-0.038698
97	9.60	-0.053679	-0.037008
98	9.70	-0.052676	-0.037049
99	9.80	-0.051672	-0.035635
100	9.90	-0.050669	-0.035105
101	10.00	-0.049666	-0.035757
102	10.10	-0.048662	-0.033916
103	10.20	-0.047659	-0.033272
104	10.30	-0.046656	-0.032797
105	10.40	-0.045652	-0.032522
106	10.50	-0.044649	-0.031217
107	10.60	-0.043645	-0.031358
108	10.70	-0.042642	-0.030134
109	10.80	-0.041639	-0.029397
110	10.90	-0.040635	-0.027890
111	11.00	-0.039632	-0.027309
112	11.10	-0.038629	-0.027582
113	11.20	-0.037625	-0.026496
114	11.30	-0.036622	-0.026304
115	11.40	-0.035619	-0.024423
116	11.50	-0.034615	-0.023784
117	11.60	-0.033612	-0.023993
118	11.70	-0.032609	-0.022742
119	11.80	-0.031605	-0.022083
120	11.90	-0.030602	-0.022106
121	12.00	-0.029599	-0.020424
122	12.10	-0.028595	-0.020075
123	12.20	-0.027592	-0.018985
124	12.30	-0.026589	-0.018676
125	12.40	-0.025585	-0.018817
126	12.50	-0.024582	-0.017593
127	12.60	-0.023579	-0.017373
128	12.70	-0.022575	-0.015212
129	12.80	-0.021572	-0.014586
130	12.90	-0.020569	-0.013954
131	13.00	-0.019565	-0.014086
132	13.10	-0.018562	-0.013779
133	13.20	-0.017559	-0.011760
134	13.30	-0.016555	-0.010943
135	13.40	-0.015552	-0.011615
136	13.50	-0.014548	-0.010268
137	13.60	-0.013545	-0.010228
138	13.70	-0.012542	-0.008415
139	13.80	-0.011538	-0.007700
140	13.90	-0.010535	-0.008014
141	14.00	-0.009532	-0.006752
142	14.10	-0.008528	-0.005926
143	14.20	-0.007525	-0.005675
144	14.30	-0.006522	-0.003997
145	14.40	-0.005518	-0.004009
146	14.50	-0.004515	-0.003641
147	14.60	-0.003512	-0.002410
148	14.70	-0.002508	-0.001399
149	14.80	-0.001505	-0.001538
150	14.90	-0.000502	-0.000655
151	15.00	0.000502	0.001146
152	15.10	0.001505	0.001300
153	15.20	0.002508	0.001667
154	15.30	0.003512	0.002501
155	15.40	0.004515	0.002573
156	15.50	0.005518	0.003446
157	15.60	0.006522	0.004334
158	15.70	0.007525	0.005441
159	15.80	0.008528	0.005574
160	15.90	0.009532	0.006265
161	16.00	0.010535	0.006733
162	16.10	0.011538	0.008335
163	16.20	0.012542	0.008399
164	16.30	0.013545	0.010188
165	16.40	0.014548	0.010821
166	16.50	0.015552	0.010265
167	16.60	0.016555	0.011239
168	16.70	0.017559	0.012636
169	16.80	0.018562	0.012615
170	16.90	0.019565	0.013190
171	17.00	0.020569	0.015182
172	17.10	0.021572	0.015305
173	17.20	0.022575	0.015854
174	17.30	0.023579	0.017060
175	17.40	0.024582	0.017803
176	17.50	0.025585	0.017522
177	17.60	0.026589	0.018079
178	17.70	0.027592	0.019321
179	17.80	0.028595	0.020015
180	17.90	0.029599	0.020791
181	18.00	0.030602	0.021917
182	18.10	0.031605	0.022535
183	18.20	0.032609	0.023739
184	18.30	0.033612	0.023028
185	18.40	0.034615	0.024221
186	18.50	0.035619	0.024826
187	18.60	0.036622	0.026369
188	18.70	0.037625	0.026095
189	18.80	0.038629	0.026708
190	18.90	0.039632	0.027828
191	19.00	0.040635	0.028492
192	19.10	0.041639	0.028969
193	19.20	0.042642	0.029629
194	19.30	0.043645	0.031413
195	19.40	0.044649	0.031352
196	19.50	0.045652	0.032728
197	19.60	0.046656	0.032937
198	19.70	0.047659	0.032844
199	19.80	0.048662	0.035068
200	19.90	0.049666	0.035513
201	20.00	0.050669	0.036433
202	20.10	0.051672	0.037071
203	20.20	0.052676	0.037653
204	20.30	0.053679	0.037268
205	20.40	0.054682	0.038486
206	20.50	0.055686	0.038757
207	20.60	0.056689	0.039763
208	20.70	0.057692	0.039922
209	20.80	0.058696	0.041141
210	20.90	0.059699	0.042818
211	21.00	0.060702	0.042372
212	21.10	0.061706	0.043909
213	21.20	0.062709	0.044089
214	21.30	0.063712	0.044745
215	21.40	0.064716	0.046306
216	21.50	0.065719	0.047074
217	21.60	0.066722	0.047077
218	21.70	0.067726	0.048044
219	21.80	0.068729	0.047848
220	21.90	0.069732	0.048782
221	22.00	0.070736	0.050564
222	22.10	0.071739	0.050647
223	22.20	0.072742	0.051295
224	22.30	0.073746	0.052330
225	22.40	0.074749	0.051932
226	22.50	0.075753	0.053482
227	22.60	0.076756	0.054058
228	22.70	0.077759	0.055324
229	22.80	0.078763	0.054918
230	22.90	0.079766	0.056910
231	23.00	0.080769	0.056208
232	23.10	0.081773	0.057084
233	23.20	0.082776	0.058445
234	23.30	0.083779	0.059280
235	23.40	0.084783	0.059282
236	23.50	0.085786	0.059804
237	23.60	0.086789	0.061744
238	23.70	0.087793	0.061420
239	23.80	0.088796	0.062684
240	23.90	0.089799	0.063430
241	24.00	0.090803	0.063816
242	24.10	0.091806	0.064786
243	24.20	0.092809	0.065395
244	24.30	0.093813	0.066761
245	24.40	0.094816	0.066299
246	24.50	0.095819	0.067824
247	24.60	0.096823	0.067767
248	24.70	0.097826	0.068725
249	24.80	0.098829	0.069873
250	24.90	0.099833	0.069985
251	25.00	0.100836	0.070717
252	25.10	0.101839	0.072121
253	25.20	0.102843	0.071741
254	25.30	0.103846	0.073064
255	25.40	0.104849	0.074635
256	25.50	0.105853	0.075338
257	25.60	0.106856	0.074568
258	25.70	0.107860	0.075498
259	25.80	0.108863	0.076288
260	25.90	0.109866	0.078064
261	26.00	0.110870	0.078687
262	26.10	0.111873	0.079391
263	26.20	0.112876	0.079282
264	26.30	0.113880	0.079649
265	26.40	0.114883	0.081437
266	26.50	0.115886	0.081936
267	26.60	0.116890	0.082495
268	26.70	0.117893	0.083803
269	26.80	0.118896	0.083976
270	26.90	0.119900	0.083649
271	27.00	0.120903	0.085650
272	27.10	0.121906	0.085529
273	27.20	0.122910	0.086818
274	27.30	0.123913	0.087965
275	27.40	0.124916	0.087384
276	27.50	0.125920	0.088061
277	27.60	0.126923	0.088754
278	27.70	0.127926	0.090174
279	27.80	0.128930	0.090431
280	27.90	0.129933	0.091670
281	28.00	0.130936	0.092557
282	28.10	0.131940	0.092441
283	28.20	0.132943	0.093837
284	28.30	0.133946	0.093951
285	28.40	0.134950	0.095017
286	28.50	0.135953	0.096390
287	28.60	0.136957	0.097002
288	28.70	0.137960	0.096503
289	28.80	0.138963	0.097739
290	28.90	0.139967	0.098211
291	29.00	0.140970	0.098480
292	29.10	0.141973	0.100415
293	29.20	0.142977	0.100907
294	29.30	0.143980	0.101013
295	29.40	0.144983	0.102487
296	29.50	0.145987	0.102890
297	29.60	0.146990	0.103398
298	29.70	0.147993	0.103436
299	29.80	0.148997	0.104248
300	29.90	0.150000	0.106247
